"CS_PRODUCT_OBJECT_TYPE__C","CATEGORY_GROUP__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CATEGORY_LEVEL_3__C","CATEGORY_LEVEL_4__C","CATEGORY_LEVEL_5__C","CATEGORY_LEVEL_6__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","GLOBAL_CATEGORY_GROUP__C","GLOBAL_CATEGORY_LEVEL_1__C","ID","ISDELETED","IS_SUPERMARKET__C","JOKR_ENTITY__C","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"","Fresh Food","Bakery","Fresh Bread","Buns & Rolls","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T4MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Crispbread & Toast","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T5MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003003","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Garlic & Cheese Breads","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T6MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003004","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Loaves & Artisanal Breads","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T7MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003005","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Long Life Bread","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T8MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003006","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Fresh Bread","Sliced Bread","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2T9MAK","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101003007","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Mooncakes","","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TAMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101004001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Speciality Bakery","","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TBMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101005001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Wraps, Pita & Indian Breads","Chapati","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TCMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101006001","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
"","Fresh Food","Bakery","Wraps, Pita & Indian Breads","Naan","","","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","MXN","","","a0JHp00000mA2TDMA0","false","false","","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z","","","FF101006002","005Hp00000igpOJIAY","2024-01-25T11:04:42.000Z"
