"AGE_VERIFICATION_REQUIRED__C","AISLE__C","AVAILABLE_QUANTITY__C","AVAILABLE_TO_SELL_QUANTITY__C","AVERAGE_UNITARY_COST__C","BARCODE_2__C","BARCODE_3__C","BARCODE_TEXT__C","BARCODE__C","BAY__C","BIN__C","CASE_SAFE_ID__C","CATEGORY_LEVEL_1__C","CATEGORY_LEVEL_2__C","CHARGE_TAX__C","CITY_CODE__C","COMMITTED_QUANTITY__C","COMPARE_AT_PRICE__C","CONTENT_READY__C","COUNTRY__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","DC_VENDOR_PRODUCT__C","DSI_TARGET_OVERRIDE_END_DATE__C","DSI_TARGET_OVERRIDE__C","DAILY_QUALITY_CHECK_1__C","DAILY_QUALITY_CHECK_2__C","DAILY_QUALITY_CHECK_3__C","DEFAULT_LOCATION__C","DELAGE_EXTERNAL_ID__C","DISCOUNT_PERCENT__C","EXCLUDE_FROM_AUTO_ACTIVATION__C","EXTERNAL_ID__C","GENERATE_ORDER_PROPOSAL__C","HUB_CITY__C","HUB_KVI__C","HUB_NAME__C","HUB_SKU_TEXT__C","HUB_SKU__C","HUB_SALES_RANK__C","HUB_STATE__C","HUB__C","ID","INCORRECT_LOCATION__C","ISDELETED","IS_DC_HUB_PRODUCT__C","IS_DSI_DATE_TODAY__C","IS_OUT_OF_STOCK__C","JOKR_PRODUCT_STATUS__C","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","LAST_CONTENT_CHANGE__C","LAST_QUANTITY_ADDED_SELLING_UOM__C","LAST_UNIT_COST__C","LAST_COST_ADDED__C","LONG_DESCRIPTION__C","MAIN_VENDOR_NAME__C","MAIN_VENDOR_PRODUCT__C","MAIN_VENDOR_TYPE__C","MAXIMUM_QUANTITY__C","NAME","NOTES__C","NUMBER_OF_INVENTORIES__C","OBJECTIVE_STOCK_PLUS__C","ON_HAND_COST__C","ON_HAND_QUANTITY__C","PHYSICAL_LOCATION__C","PLUS_AISLE__C","PLUS_BAY__C","PLUS_BIN__C","PLUS_DEFAULT_LOCATION__C","PLUS_ROW__C","PRICE_COMPARE_PRICE_CHECK__C","PRICE__C","PRICE_AND_COMPARE_AT_PRICE__C","PRODUCT_INFO__C","PRODUCT_TITLE__C","PRODUCT_TITLE_TEXT__C","PRODUCT__C","PROMOTION_COMPARE_AT_PRICE__C","PROMOTION_END__C","PROMOTION_ENDED__C","PROMOTION_NAME__C","PROMOTION_PRICE__C","PROMOTION_START__C","PROMOTION_ONGOING__C","PROMOTION_STARTED__C","PURCHASING_STATUS__C","QUALITY_CHECK_TIMES_LEFT__C","REPLENISHED_BY__C","REPLENISHMENT_MODE__C","RETAIL_PRICE__C","ROW__C","SEND_INVENTORY__C","SHOPIFY_INVENTORY_ITEM_ID__C","SHOPIFY_PRODUCT_ID__C","SHOPIFY_VARIANT_ID__C","SHOW_IF_OUT_OF_STOCK__C","SOON_TO_EXPIRE_DISCOUNT__C","STATUS_NEXT_STEP__C","STATUS__C","SUB_CATEGORIES__C","SUBMIT_TO_INTEGRATION__C","SYSTEMMODSTAMP","TO_DISCONTINUE_WHEN_OUT_OF_STOCK__C","TRANSFER_TYPE__C","UNIQUE_EXTERNAL_IDENTIFIER__C","UPCOMING_PROMOTION_PRICE__C","UPCOMING_PROMOTION_DISCOUNT__C","VENDOR_PRODUCT_2__C","VENDOR_PRODUCT_3__C","X18_CHAR_ID__C","ZONE__C"
"Yes - 16+","","94.0","94.0","7.0","","","","7501198350015","","","a0LHp00000QHWtiMAH","Beverages","Water","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-23T15:56:05.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_7501198350012","50645_7501198350012","","","a0AHp000013OG1VMAW","a0LHp00000QHWtiMAH","false","false","false","false","0.0","Active","","005Hp00000igpOJIAY","2024-03-08T13:46:36.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RPK5IAO","External Supplier","4.0","0003","","1.0","","658.0","94.0","","","","","---","","No Promotion - OK","12.0","false","7501198350012=Core=4=No","Canada Dry Agua Mineral 65ml","Canada Dry Agua Mineral 65ml","a0UHp00000TkRQ3MAN","","","false","","","","false","false","","0.0","","Replenish","12.0","","","","","","true","","00: Waiting for Content Ready to Activate","Draft","","false","2024-03-08T13:46:36.000Z","false","","MX_7501198350012","","","","","a0LHp00000QHWtiMAH","Zone 1"
"Yes - 16+","A","85.0","85.0","7.0","","","","7501198350015","B","3","a0LHp00000QHWtjMAH","Beverages","Water","false","504","1.0","12.5","false","Mexico","005Hp00000igHBGIA2","2024-01-23T15:56:05.000Z","MXN","","","","","","","A-B-1-3","","-8.0","false","","YES","Monterrey","false","504LX","504LX_7501198350012","504LX_7501198350012","","Nuevo Leon","a0AHp000013OG0hMAG","a0LHp00000QHWtjMAH","true","false","false","false","0.0","Active","","005Hp00000igpOJIAY","2024-03-15T13:28:55.000Z","","","","","7.0","","","FEMSA SA de CV","a0kHp000027RPK5IAO","External Supplier","4.0","0004","","1.0","","602.0","86.0","","","","","---","","Promotion - OK","11.5","true","7501198350012=Core=4=No","Canada Dry Agua Mineral 65ml","Canada Dry Agua Mineral 65ml","a0UHp00000TkRQ3MAN","","","false","","11.5","","false","false","","0.0","","Replenish","12.5","1","","","","","true","","03: Ready to Archive","Active","","false","2024-03-15T13:28:55.000Z","false","","MX_7501198350012","","","","","a0LHp00000QHWtjMAH","No Zone"
"No","","0.0","0.0","0.01","","","","75004780089267","","","a0LHp00000QHaodMAD","Snacks & Sweets","Biscuits & Crackers","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:49:57.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_7500478008926","50645_7500478008926","","","a0AHp000013OG1VMAW","a0LHp00000QHaodMAD","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-30T08:49:58.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTERIA4","External Supplier","3.0","0009","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","13.9","false","7500478008926=Core=3=No","Chokis Gamesa 57 g","Chokis Gamesa 57 g","a0UHp00000TkTrrMAF","","","false","","","","false","false","","0.0","","Replenish","13.9","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7500478008926","","","","","a0LHp00000QHaodMAD","Zone 1"
"No","","0.0","0.0","0.01","","","","75004780089267","","","a0LHp00000QHaofMAD","Snacks & Sweets","Biscuits & Crackers","false","508","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:49:57.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","508GY","508GY_7500478008926","508GY_7500478008926","","Nuevo Leon","a0AHp000013OKbhMAG","a0LHp00000QHaofMAD","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-30T08:49:58.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTERIA4","External Supplier","3.0","0011","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","13.9","false","7500478008926=Core=3=No","Chokis Gamesa 57 g","Chokis Gamesa 57 g","a0UHp00000TkTrrMAF","","","false","","","","false","false","","0.0","","Replenish","13.9","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7500478008926","","","","","a0LHp00000QHaofMAD","Zone 1"
"No","","100.0","100.0","9.5","","","","75004780089267","","","a0LHp00000QHaogMAD","Snacks & Sweets","Biscuits & Crackers","false","501","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:49:57.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","5017Q","5017Q_7500478008926","5017Q_7500478008926","","Nuevo Leon","a0AHp000013OKbcMAG","a0LHp00000QHaogMAD","false","false","false","false","0.0","Active","","005Hp00000igpOJIAY","2024-03-11T14:46:37.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTERIA4","External Supplier","3.0","0012","","6.0","","950.0","100.0","","","","","---","","No Promotion - OK","14.9","false","7500478008926=Core=3=No","Chokis Gamesa 57 g","Chokis Gamesa 57 g","a0UHp00000TkTrrMAF","","","false","","","","false","false","","0.0","","Replenish","14.9","","","","","","true","","00: Waiting for Content Ready to Activate","Draft","","false","2024-03-11T14:46:37.000Z","false","","MX_7500478008926","","","","","a0LHp00000QHaogMAD","Zone 1"
"No","","0.0","0.0","0.01","","","","7501025511036","","","a0LHp00000QHaonMAD","Dairy & Chilled","Fresh Milk","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_7501025511036","50645_7501025511036","","","a0AHp000013OG1VMAW","a0LHp00000QHaonMAD","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTEWIA4","External Supplier","0.0","0015","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","25.0","false","7501025511036=Core=0=No","Yakult Original 3 pz","Yakult Original 3 pz","a0UHp00000TkTrwMAF","","","false","","","","false","false","","0.0","","Replenish","25.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501025511036","","","","","a0LHp00000QHaonMAD","Zone 1"
"No","A","71.0","50.0","15.69","","","","7501025511036","B","","a0LHp00000QHaooMAD","Dairy & Chilled","Fresh Milk","false","504","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","MXN","","","","","","","A-B-2-","","","false","","YES","Monterrey","false","504LX","504LX_7501025511036","504LX_7501025511036","","Nuevo Leon","a0AHp000013OG0hMAG","a0LHp00000QHaooMAD","false","false","false","false","0.0","Active","","005Hp00000igmrCIAQ","2024-02-15T16:27:41.000Z","","","","","15.69","","","FEMSA SA de CV","a0kHp000027RTEWIA4","External Supplier","0.0","0016","","6.0","","1114.11","71.0","","","","","---","","No Promotion - OK","25.0","false","7501025511036=Core=0=No","Yakult Original 3 pz","Yakult Original 3 pz","a0UHp00000TkTrwMAF","","","false","","","","false","false","","0.0","","Replenish","25.0","2","","","","","true","","00: Waiting for Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501025511036","","","","","a0LHp00000QHaooMAD","No Zone"
"No","","0.0","0.0","0.01","","","","7501025511036","","","a0LHp00000QHaopMAD","Dairy & Chilled","Fresh Milk","false","508","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","508GY","508GY_7501025511036","508GY_7501025511036","","Nuevo Leon","a0AHp000013OKbhMAG","a0LHp00000QHaopMAD","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTEWIA4","External Supplier","0.0","0017","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","25.0","false","7501025511036=Core=0=No","Yakult Original 3 pz","Yakult Original 3 pz","a0UHp00000TkTrwMAF","","","false","","","","false","false","","0.0","","Replenish","25.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501025511036","","","","","a0LHp00000QHaopMAD","Zone 1"
"No","","0.0","0.0","0.01","","","","7501025511036","","","a0LHp00000QHaoqMAD","Dairy & Chilled","Fresh Milk","false","501","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","5017Q","5017Q_7501025511036","5017Q_7501025511036","","Nuevo Leon","a0AHp000013OKbcMAG","a0LHp00000QHaoqMAD","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-30T08:50:22.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTEWIA4","External Supplier","0.0","0018","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","25.0","false","7501025511036=Core=0=No","Yakult Original 3 pz","Yakult Original 3 pz","a0UHp00000TkTrwMAF","","","false","","","","false","false","","0.0","","Replenish","25.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_7501025511036","","","","","a0LHp00000QHaoqMAD","Zone 1"
"Yes - 18+","","0.0","0.0","0.01","","","","638478000064","","","a0LHp00000QHaosMAD","Beer, Wine & Spirits","Spirits","false","506","0.0","","false","Mexico","005Hp00000igHBGIA2","2024-01-30T08:50:33.000Z","MXN","","","","","","","---","","","false","","YES","Monterrey","false","50645","50645_638478000064","50645_638478000064","","","a0AHp000013OG1VMAW","a0LHp00000QHaosMAD","false","false","false","false","1.0","Active","","005Hp00000igHBGIA2","2024-01-30T08:50:33.000Z","","","","","","","","FEMSA SA de CV","a0kHp000027RTEbIAO","External Supplier","0.0","0019","","6.0","","0.0","0.0","","","","","---","","No Promotion - OK","375.0","false","638478000064=Core=0=No","Tequila Don Ramón 750 ml","Tequila Don Ramón 750 ml","a0UHp00000TkTwSMAV","","","false","","","","false","false","","0.0","","Replenish","375.0","","","","","","true","","00: Waiting for Inventory and Content Ready to Activate","Draft","","false","2024-02-29T14:33:07.000Z","false","","MX_638478000064","","","","","a0LHp00000QHaosMAD","Zone 1"
